D‚formation,Contrainte (MPa)
-0.003930535,-110.4342787
-0.003798232,-101.4576575
-0.003666375,-92.87742658
-0.003537573,-83.88732436
-0.003398269,-74.92162242
-0.003273555,-66.34203664
-0.003133715,-57.46616917
-0.003004642,-48.78598416
-0.002878607,-40.06438527
-0.002748056,-31.35422551
-0.002605786,-22.77308013
-0.002482801,-14.09528629
-0.002353743,-5.644488779
-0.00221422,2.684978341
-0.002089253,11.370376
-0.001957351,19.54489579
-0.001828086,28.09863861
-0.001692257,36.50156192
-0.001564684,44.54754627
-0.001435072,52.86009646
-0.001299128,61.11146326
-0.001174572,69.03618947
-0.001034072,77.5166688
-0.00091226,85.12540644
-0.000773607,92.97105251
-0.000653273,100.953941
-0.00051587,108.0049693
-0.000392293,115.0192415
-0.000252048,121.8178488
-0.000119106,127.3997429
3.50115E-06,133.0571385
0.000142094,137.5918393
0.000268,141.7646781
0.000405591,145.7593678
0.000533491,149.1320185
0.000664015,152.1918415
0.000796365,155.0435825
0.00092915,157.5003363
0.001057166,160.0010656
0.001186313,162.1342228
0.001326668,164.0337599
0.001447163,166.1413915
0.001582387,167.7376881
0.001710214,169.2594436
0.001847654,170.9638327
0.001975104,172.2055601
0.002100493,173.9192984
0.002239663,174.9835762
0.002368065,176.0315628
0.002498021,177.4125036
0.002630672,178.3632419
0.002760687,179.3315471
0.002890025,180.616891
0.003022665,181.2063728
0.003153712,182.2084567
0.003281827,183.1555268
0.003419148,183.7087975
0.003544898,184.6788147
0.003674501,185.5573606
0.003806801,185.9529032
0.003935482,186.9252692
0.004074896,187.3611672
0.004195562,188.0383037
0.004329415,188.7967836
0.004459398,189.2080015
0.004593341,189.8486327
0.004718313,190.4824492
0.00484994,190.7367052
0.004849983,185.9306554
0.004714632,176.6894351
0.004593719,167.46712
0.004447932,158.8990735
0.004317901,149.9173622
0.004183446,141.1360665
0.004052894,132.5696757
0.003922774,123.4510664
0.003780018,114.8321943
0.003654941,106.1207421
0.003522055,97.23605783
0.003387705,88.83349362
0.003262604,80.03941835
0.003130693,71.4551329
0.002997451,62.90381821
0.002865899,54.08356176
0.002735692,45.61848422
0.002608509,37.1959981
0.002463901,28.44871701
0.002341777,20.12467006
0.002201192,11.61999713
0.002079274,3.13700741
0.001941143,-5.022970757
0.001817745,-13.47902935
0.001684354,-21.87856455
0.00155146,-29.90288993
0.001420396,-38.42489588
0.001295109,-46.58116275
0.001159004,-54.4830253
0.001030916,-62.74758709
0.000898056,-70.40215015
0.000770487,-78.41947091
0.00064299,-86.52025412
0.000503365,-93.72854485
0.000376611,-101.2229329
0.000244332,-108.2373618
0.000114673,-114.4405997
-1.6882E-05,-120.4383904
-0.000157571,-125.749758
-0.000276552,-130.1894946
-0.000413644,-134.709113
-0.000540458,-138.3545261
-0.00067214,-141.6902016
-0.000803347,-144.9906765
-0.000930971,-147.6059245
-0.00106649,-150.3402427
-0.001198349,-152.6413082
-0.001332398,-154.5958925
-0.001455615,-156.8836315
-0.001593009,-158.6542773
-0.001727742,-160.2883342
-0.001856411,-162.2056824
-0.001983347,-163.5481135
-0.002114161,-164.941437
-0.002245736,-166.4621486
-0.002371955,-167.6089619
-0.00251031,-168.9121984
-0.002642142,-170.0786162
-0.002766496,-170.8881828
-0.002899296,-172.180262
-0.003030039,-173.1020821
-0.003162037,-173.7464984
-0.003291115,-174.9298004
-0.003424347,-175.7026486
-0.003557343,-176.2295127
-0.00368292,-177.2887839
-0.003817281,-177.8132511
-0.003944961,-178.4837965
-0.004077839,-179.3774477
-0.00420604,-179.8991068
-0.004336448,-180.3675434
-0.00446971,-181.1170519
-0.004600969,-181.4350866
-0.004726261,-182.1574535
-0.004858344,-182.7154385
-0.00484485,-176.9288656
-0.004709805,-168.2880547
-0.004582384,-159.2943552
-0.004440943,-150.1948473
-0.004312076,-141.534317
-0.004180252,-132.7066885
-0.004039579,-123.4953991
-0.003915315,-114.9259267
-0.003779648,-105.9236546
-0.003647392,-96.96497605
-0.003515281,-88.40627467
-0.003379822,-79.41274009
-0.003251905,-70.47349494
-0.003111259,-62.01683129
-0.00297883,-53.03318042
-0.002869431,-44.3921461
-0.002722854,-35.79009126
-0.002592328,-27.08202349
-0.002462109,-18.45226357
-0.002325096,-10.01284736
-0.002198462,-1.402179691
-0.00206294,6.835102527
-0.001936054,15.36038635
-0.001808075,23.7248373
-0.001670277,31.90115554
-0.001545005,40.23932112
-0.00141424,48.41165789
-0.001285796,56.43461992
-0.001149839,64.80510695
-0.001024816,72.74046848
-0.000887522,80.72413994
-0.000758669,88.74102643
-0.000624476,96.42667078
-0.00049774,103.95342
-0.000369445,111.5093004
-0.000242144,118.1851088
-0.000106798,124.8970405
